Start date,Subject,Location
12/18/22,横浜キヤノンイーグルス v コベルコ神⼾スティーラーズ,ニッパツ
12/25/22,横浜キヤノンイーグルス v クボタスピアーズ船橋・東京ベイ,昭和電ド
01/07/23,東京サンゴリアス v 横浜キヤノンイーグルス,味スタ
01/14/23,花園近鉄ライナーズ v 横浜キヤノンイーグルス,花園
01/21/23,横浜キヤノンイーグルス v グリーンロケッツ東葛,ニッパツ
01/28/23,埼⽟ワイルドナイツ v 横浜キヤノンイーグルス,熊⾕
02/04/23,横浜キヤノンイーグルス v ブラックラムズ東京,ニッパツ
02/18/23,横浜キヤノンイーグルス v 東芝ブレイブルーパス東京,昭和電ド
02/25/23,トヨタヴェルブリッツ v 横浜キヤノンイーグルス,愛知県内
03/03/23,横浜キヤノンイーグルス v 静岡ブルーレヴズ,秩⽗宮
03/12/23,三菱重⼯相模原ダイナボアーズ v 横浜キヤノンイーグルス,ギオンス
03/18/23,クボタスピアーズ船橋・東京ベイ v 横浜キヤノンイーグルス,江⼾川
03/25/23,横浜キヤノンイーグルス v 花園近鉄ライナーズ,昭和電ド
04/09/23,グリーンロケッツ東葛 v 横浜キヤノンイーグルス,千葉県内
04/15/23,横浜キヤノンイーグルス v 東京サンゴリアス,神奈川県内
04/23/23,コベルコ神⼾スティーラーズ v 横浜キヤノンイーグルス,花園
